product_name,product_price [zl],product_availability
Lenovo Ideapad S145-14AST (81ST002EPB),999,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006XPB),999,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0067PB),1049,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD,1089,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15IWL (81MV00KGPB),1099,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006XPB) - 8GB,1109,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB),1129,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD | 8GB,1189,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB),1199,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD,1199,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB) - 8GB,1239,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006YPB),1249,Dostawa towaru 09-01-2020 - zamów już teraz
Lenovo Ideapad S145-15API (81UT0069PB),1249,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB) - 480GB SSD,1249,Produkt tymczasowo niedostępny.
Lenovo Ideapad C340-14IWL (81N400FAPB) [oferta Outlet],"1279,20",Wysyłka w 1-3 dni
Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD | 8GB,1309,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CEPB),1349,Wysyłka w 1-3 dni
Lenovo Ideapad S130-14IGM (81J2007BPB),1349,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad S145-15API (81UT0068PB),1349,Wysyłka w 1-3 dni
Lenovo Ideapad S145-15API (81UT0069PB) - 8GB,1369,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006YPB) - 240GB SSD,1369,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB) - 480GB SSD | 8GB,1389,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-14IWL (81MU00CYPB),1399,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15IWL (81MV00KHPB),1399,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 240GB SSD,1409,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006YPB) - 8GB,1409,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0069PB) - 12GB,1409,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 8GB,1439,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad C340-14API (81N60056PB) [oferta Outlet],"1444,15",Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15API (81UT0068PB) - 8GB,1449,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CEPB) - 8GB,1459,Produkt tymczasowo niedostępny.
Lenovo Ideapad 330-15ARR (81D200N7PB) - 120GB SSD,1469,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0069PB) - 250GB M.2 PCIe,1469,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 240GB SSD | 8GB,1479,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006YPB) - 240GB SSD | 8GB,1479,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006YPB) - 480GB SSD,1489,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 480GB SSD,1499,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-14IWL (81MU009TPB),1499,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad 330-15ARR (81D200N7PB),1499,Dostawa towaru 09-01-2020 - zamów już teraz
Lenovo V155-15API (81V50015PB),1499,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo V155-15API (81V50015PB),1499,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad 330-17AST (81D70075PB),1499,Produkt tymczasowo niedostępny.
