product_name,product_price [zl],product_availability
Lenovo MIIX 3-1030 (80HV006APB) + stacja dokująca,849,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad S145-15AST (81N3006XPB),999,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0067PB),1049,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB) [oferta Outlet],"1088,56",Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD,1089,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15IWL (81MV00KGPB),1099,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad S145-15AST (81N3006XPB) - 8GB,1109,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB),1099,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14AST (81ST002EPB) - 240GB SSD,1139,Wysyłka w 1-3 dni
Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD | 8GB,1189,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB),1199,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD,1199,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15IWL (81MV00KGPB) - 8GB,1199,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB) - 8GB,1239,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006YPB),1249,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N300CDPB) - 480GB SSD,1249,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0069PB),1249,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CEPB) [oferta Outlet],"1270,76",Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S130-14IGM (81J2007BPB) [oferta Outlet],"1286,95",Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD | 8GB,1299,Produkt tymczasowo niedostępny.
Lenovo Ideapad S130-14IGM (81J2007BPB),1349,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N300CEPB),1349,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15API (81UT0068PB),1349,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006YPB) - 240GB SSD,1369,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15API (81UT0069PB) - 8GB,1369,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB) - 480GB SSD | 8GB,1379,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CYPB),1399,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15IWL (81MV00KHPB),1399,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0069PB) - 12GB,1399,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 240GB SSD,1409,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006YPB) - 8GB,1409,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 8GB,1429,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15API (81UT0069PB) - 250GB M.2 PCIe,1429,Produkt tymczasowo niedostępny.
Lenovo Ideapad 310-15ISK (80SM01WXPB) Biały [oferta Outlet],"1434,30",Wysyłka w 1-3 dni
Lenovo Ideapad C340-14API (81N60055PB),1449,Wysyłka w 1-3 dni
Lenovo Ideapad S145-15AST (81N300CEPB) - 8GB,1449,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-14IWL (81MU009TPB),1449,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15API (81UT0068PB) - 8GB,1449,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006YPB) - 240GB SSD | 8GB,1469,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 240GB SSD | 8GB,1469,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad 330-15ARR (81D200N7PB) - 120GB SSD,1479,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006YPB) - 480GB SSD,1489,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 480GB SSD,1499,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad 330-15ARR (81D200N7PB),1499,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo V155-15API (81V50015PB),1499,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad 330-15AST (81D600N3PB) - 240GB SSD | 8GB,1499,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad 330-17AST (81D70075PB),1499,Produkt tymczasowo niedostępny.
